,Name,Over,Maidens,Runs_Conceded,Wickets,Dots
0,Shakib Al Hasan,10.5,0,95,2,22
1,Shivam Mavi,0.0,0,0,0,0
2,Lockie Ferguson,17.0,0,183,2,30
3,Varun Chakravarthy,3.0,0,35,1,8
4,Sunil Narine,44.2,1,347,10,96
5,Venkatesh Iyer,0.0,0,0,0,0
6,Deepak Chahar,64.3,2,482,22,190
7,Josh Hazlewood,0.0,0,0,0,0
8,Shardul Thakur,30.0,0,281,8,65
9,Dwayne Bravo,41.1,0,330,11,74
10,Ravindra Jadeja,54.0,1,343,15,128
11,Anrich Nortje,0.0,0,0,0,0
12,Ravichandran Ashwin,55.0,0,400,15,100
13,Avesh Khan,3.0,0,30,0,7
14,Axar Patel,51.0,0,364,10,110
15,Kagiso Rabada,46.2,0,368,25,113
16,Mohammed Siraj,27.7,1,269,7,69
17,George Garton,0.0,0,0,0,0
18,Harshal Patel,8.0,0,77,2,15
19,Yuzvendra Chahal,49.2,1,386,18,117
20,Glenn Maxwell,0.0,0,0,0,0
21,Dan Christian,0.0,0,0,0,0
22,Moeen Ali,25.0,0,169,6,63
23,Tom Curran,0.0,0,0,0,0
24,Ripal Patel,0.0,0,0,0,0
25,Mohammad Nabi,28.7,0,194,8,69
26,Siddarth Kaul,27.0,0,242,6,56
27,Jason Holder,0.0,0,0,0,0
28,Umran Malik,0.0,0,0,0,0
29,Rashid Khan,60.0,1,377,17,166
30,Abhishek Sharma,2.0,0,21,1,1
31,Trent Boult,19.0,0,163,5,44
32,Jasprit Bumrah,61.4,1,409,19,169
33,Piyush Chawla,43.9,0,399,10,87
34,Nathan Coulter-Nile,0.0,0,0,0,0
35,James Neesham,0.0,0,0,0,0
36,Krunal Pandya,46.0,0,335,12,94
37,Jaydev Unadkat,37.2,0,398,10,58
38,Chris Morris,33.0,0,306,13,68
39,Chetan Sakariya,0.0,0,0,0,0
40,Mustafizur Rahman,0.0,0,0,0,0
41,Shivam Dube,1.4,0,8,0,3
42,Rahul Tewatia,6.2,0,42,2,19
43,Glenn Phillips,0.0,0,0,0,0
44,Mohammed Shami,54.0,0,469,19,119
45,Harpreet Brar,5.0,0,48,0,7
46,Arshdeep Singh,10.0,0,109,3,20
47,Chris Jordan,0.0,0,0,0,0
48,Ravi Bishnoi,0.0,0,0,0,0
49,Moises Henriques,0.0,0,0,0,0
50,Shahbaz Ahmed,0.0,0,0,0,0
51,Bhuvneshwar Kumar,59.0,1,461,13,168
52,Jayant Yadav,7.0,0,50,1,17
53,Kieron Pollard,0.0,0,0,0,0
54,Shreyas Gopal,48.0,1,347,20,107
55,Kuldip Yadav,0.0,0,0,0,0
56,Tim Southee,9.0,0,118,1,19
57,Aiden Markram,0.0,0,0,0,0
58,Akash Singh,0.0,0,0,0,0
59,Mayank Markande,6.0,0,59,1,11
60,Sam Curran,32.599999999999994,0,323,10,60
61,KM Asif,0.0,0,0,0,0
62,Fabian Allen,0.0,0,0,0,0
63,Nathan Ellis,0.0,0,0,0,0
