,Name,Over,Maidens,Runs_Conceded,Wickets,Dots
0,Shakib Al Hasan,26.0,0,187,4,50
1,Shivam Mavi,32.1,0,233,11,91
2,Lockie Ferguson,30.0,0,224,13,76
3,Varun Chakravarthy,68.0,0,448,18,149
4,Sunil Narine,56.0,0,361,16,131
5,Venkatesh Iyer,8.3,0,69,3,14
6,Deepak Chahar,54.0,1,451,14,132
7,Josh Hazlewood,35.0,0,293,11,87
8,Shardul Thakur,59.5,1,527,21,137
9,Dwayne Bravo,33.4,0,263,14,73
10,Ravindra Jadeja,49.0,1,346,13,104
11,Anrich Nortje,30.2,1,187,12,84
12,Ravichandran Ashwin,44.0,0,331,7,95
13,Avesh Khan,61.0,0,450,24,156
14,Axar Patel,46.0,0,306,15,99
15,Kagiso Rabada,56.0,1,456,15,135
16,Mohammed Siraj,52.0,1,353,11,147
17,George Garton,15.0,0,135,3,32
18,Harshal Patel,56.2,0,459,32,122
19,Yuzvendra Chahal,53.0,1,374,18,127
20,Glenn Maxwell,16.0,0,135,3,25
21,Dan Christian,16.4,0,155,4,29
22,Moeen Ali,25.2,0,161,6,50
23,Tom Curran,10.8,0,104,4,19
24,Ripal Patel,3.0,0,22,0,5
25,Mohammad Nabi,8.0,0,86,2,13
26,Siddarth Kaul,29.2,1,247,7,70
27,Jason Holder,31.5,0,247,16,75
28,Umran Malik,12.0,0,96,2,31
29,Rashid Khan,56.0,0,375,18,130
30,Abhishek Sharma,10.0,0,64,4,25
31,Trent Boult,50.8,1,406,13,138
32,Jasprit Bumrah,55.0,0,410,21,142
33,Piyush Chawla,4.0,0,38,1,3
34,Nathan Coulter-Nile,20.0,0,127,7,53
35,James Neesham,9.0,0,66,5,21
36,Krunal Pandya,33.1,0,265,5,68
37,Jaydev Unadkat,22.0,0,168,4,52
38,Chris Morris,41.0,0,376,15,91
39,Chetan Sakariya,52.0,1,426,14,113
40,Mustafizur Rahman,51.099999999999994,0,436,14,113
41,Shivam Dube,5.0,0,49,0,7
42,Rahul Tewatia,37.0,0,340,8,50
43,Glenn Phillips,2.0,0,20,1,4
44,Mohammed Shami,52.4,1,395,19,145
45,Harpreet Brar,23.0,1,139,5,56
46,Arshdeep Singh,40.8,0,342,18,88
47,Chris Jordan,12.0,0,96,4,27
48,Ravi Bishnoi,36.0,0,230,12,87
49,Moises Henriques,10.0,0,45,4,31
50,Shahbaz Ahmed,14.0,0,92,7,21
51,Bhuvneshwar Kumar,42.0,1,335,6,103
52,Jayant Yadav,17.0,0,130,2,44
53,Kieron Pollard,13.1,0,95,5,26
54,Shreyas Gopal,7.0,0,84,0,11
55,Kuldip Yadav,2.0,0,16,0,5
56,Tim Southee,12.0,0,95,3,23
57,Aiden Markram,4.0,0,23,0,9
58,Akash Singh,4.0,0,39,0,7
59,Mayank Markande,3.0,0,26,0,4
60,Sam Curran,33.0,0,328,9,76
61,KM Asif,2.1,0,18,1,2
62,Fabian Allen,11.0,1,90,1,20
63,Nathan Ellis,11.0,0,90,1,24
64,Nitish Rana,2.0,0,12,0,5
65,Sandeep Sharma,23.3,0,203,3,52
66,Kartik Tyagi,14.0,0,124,4,37
67,Mahipal Lomror,7.0,0,47,1,13
68,Riyan Parag,6.1,0,73,1,7
69,Rahul Chahar,43.0,0,318,13,93
70,Sandeep Warrier,2.0,0,15,0,6
71,Lalit Yadav,14.0,0,101,4,21
72,Adam Milne,14.0,0,131,3,31
73,Kyle Jamieson,28.0,0,269,9,70
74,Prasidh Krishna,38.3,0,351,12,102
75,Andre Russell,19.0,0,188,11,39
76,Khaleel Ahmed,27.0,0,219,5,56
77,Abdul Samad,1.0,0,9,1,1
78,Tabraiz Shamsi,4.0,0,34,0,2
79,Navdeep Saini,4.0,0,52,0,5
80,Wanindu Hasaranga de Silva,6.0,0,60,0,11
81,Rohit Sharma,1.1,0,13,0,0
82,Marcus Stoinis,11.1,0,117,2,17
83,Ishan Porel,4.0,0,39,1,10
84,Deepak Hooda,16.0,0,136,2,31
85,Adil Rashid,3.0,0,35,0,6
86,Ishant Sharma,12.0,2,97,1,26
87,Riley Meredith,16.200000000000003,0,169,4,38
88,Vijay Shankar,11.0,0,100,3,22
89,Dhawal Kulkarni,4.0,0,48,0,7
90,Lungi Ngidi,12.0,0,125,5,25
91,Daniel Sams,6.0,0,39,1,15
92,Pat Cummins,26.5,0,237,9,60
93,Jagadeesha Suchith,7.0,0,66,0,11
94,Amit Mishra,14.0,0,109,6,25
95,Washington Sundar,16.0,0,118,3,32
96,Imran Tahir,4.0,0,16,2,14
97,Kane Richardson,3.0,0,29,1,5
98,Kamlesh Nagarkoti,2.0,0,25,0,2
99,Murugan Ashwin,11.0,0,97,1,19
100,Chris Woakes,11.0,0,82,5,33
101,Lukman Meriwala,3.0,0,32,1,6
102,Jalaj Saxena,3.0,0,27,0,5
103,Jhye Richardson,11.0,0,117,3,24
104,Harbhajan Singh,7.0,0,63,0,19
105,Mujeeb Ur Rahman,4.0,0,29,2,10
106,Shahbaz Nadeem,4.0,0,36,1,9
107,T Natarajan,8.0,0,69,2,14
