,Name,Over,Maidens,Runs_Conceded,Wickets,Dots
0,Shakib Al Hasan,0.0,0,0,0,0
1,Shivam Mavi,26.0,2,212,9,63
2,Lockie Ferguson,19.5,0,148,6,48
3,Varun Chakravarthy,52.0,0,356,17,111
4,Sunil Narine,38.0,0,302,5,67
5,Venkatesh Iyer,0.0,0,0,0,0
6,Deepak Chahar,52.0,2,396,12,118
7,Josh Hazlewood,10.0,0,64,1,31
8,Shardul Thakur,32.2,0,275,10,68
9,Dwayne Bravo,21.0,0,180,6,35
10,Ravindra Jadeja,35.8,0,318,6,56
11,Anrich Nortje,60.6,0,512,22,160
12,Ravichandran Ashwin,51.0,0,391,13,101
13,Avesh Khan,4.0,0,42,0,7
14,Axar Patel,51.0,0,327,9,100
15,Kagiso Rabada,65.4,1,548,30,156
16,Mohammed Siraj,27.1,2,236,11,77
17,George Garton,0.0,0,0,0,0
18,Harshal Patel,15.0,0,134,3,23
19,Yuzvendra Chahal,57.1,0,405,21,118
20,Glenn Maxwell,21.0,0,169,3,37
21,Dan Christian,0.0,0,0,0,0
22,Moeen Ali,5.0,0,42,1,8
23,Tom Curran,18.1,0,208,3,25
24,Ripal Patel,0.0,0,0,0,0
25,Mohammad Nabi,4.0,0,23,0,5
26,Siddarth Kaul,4.0,0,64,2,6
27,Jason Holder,28.0,0,233,14,58
28,Umran Malik,0.0,0,0,0,0
29,Rashid Khan,64.0,1,344,20,168
30,Abhishek Sharma,10.0,0,91,2,11
31,Trent Boult,57.2,3,457,25,157
32,Jasprit Bumrah,60.0,2,404,27,175
33,Piyush Chawla,21.0,0,191,6,37
34,Nathan Coulter-Nile,26.0,0,206,5,69
35,James Neesham,15.0,0,148,2,26
36,Krunal Pandya,50.1,0,380,6,100
37,Jaydev Unadkat,23.0,0,228,4,35
38,Chris Morris,31.4,1,210,11,91
39,Chetan Sakariya,0.0,0,0,0,0
40,Mustafizur Rahman,0.0,0,0,0,0
41,Shivam Dube,9.0,0,73,4,14
42,Rahul Tewatia,46.0,0,326,10,95
43,Glenn Phillips,0.0,0,0,0,0
44,Mohammed Shami,53.4,0,460,20,140
45,Harpreet Brar,4.0,0,41,0,6
46,Arshdeep Singh,24.5,1,218,9,56
47,Chris Jordan,31.3,0,304,9,62
48,Ravi Bishnoi,51.0,1,376,12,122
49,Moises Henriques,0.0,0,0,0,0
50,Shahbaz Ahmed,6.0,0,44,2,9
51,Bhuvneshwar Kumar,14.1,0,99,3,40
52,Jayant Yadav,7.0,0,43,1,13
53,Kieron Pollard,21.0,0,190,4,33
